CodigoAbastecimento;CodigoPostoAbastecimento;CodigoFerrovia;DataReferencia;LitrosManobra;LitrosViagem;LitrosOutro
361;89;1;01/02/2011 00:00:00;0;35100;0
362;45;1;01/02/2011 00:00:00;0;19005;0
363;38;1;01/02/2011 00:00:00;0;548931;0
364;48;1;01/02/2011 00:00:00;0;154184;0
365;39;1;01/02/2011 00:00:00;0;4261981;0
366;40;1;01/02/2011 00:00:00;0;46673;0
367;91;1;01/02/2011 00:00:00;0;39000;0
368;42;1;01/02/2011 00:00:00;0;95937;0
369;94;1;01/02/2011 00:00:00;0;1500;0
370;41;1;01/02/2011 00:00:00;0;53500;0
371;93;1;01/02/2011 00:00:00;0;22000;0
372;46;1;01/02/2011 00:00:00;0;1388594;0
373;47;1;01/02/2011 00:00:00;0;616466;0
374;90;1;01/02/2011 00:00:00;0;45000;0
375;95;1;01/02/2011 00:00:00;0;2400;0
376;54;1;01/02/2011 00:00:00;0;49899;0
377;49;1;01/02/2011 00:00:00;0;195296;0
378;51;1;01/02/2011 00:00:00;0;413200;0
379;92;1;01/02/2011 00:00:00;0;31500;0
380;50;1;01/02/2011 00:00:00;0;510919;0
381;52;1;01/02/2011 00:00:00;0;703379;0
382;88;1;01/02/2011 00:00:00;0;216042;0
383;53;1;01/02/2011 00:00:00;0;1073447;0
384;55;1;01/02/2011 00:00:00;0;16857;0
385;43;1;01/02/2011 00:00:00;0;237450;0
386;44;1;01/02/2011 00:00:00;0;104900;0
387;62;7;01/02/2011 00:00:00;0;1443567;0
388;56;5;01/02/2011 00:00:00;0;1754530;0
389;57;5;01/02/2011 00:00:00;0;55100;0
390;84;5;01/02/2011 00:00:00;0;401500;0
391;85;5;01/02/2011 00:00:00;0;2000;0
392;58;9;01/02/2011 00:00:00;0;395000;0
393;60;9;01/02/2011 00:00:00;0;122196;0
394;61;9;01/02/2011 00:00:00;0;29900;0
395;86;9;01/02/2011 00:00:00;0;151318;0
396;59;9;01/02/2011 00:00:00;0;160080;0
397;84;5;01/01/2011 00:00:00;0;0;0
398;61;9;01/12/2010 00:00:00;0;49150;0
399;60;9;01/12/2010 00:00:00;0;180375;0
400;86;9;01/12/2010 00:00:00;0;37000;0
401;59;9;01/12/2010 00:00:00;0;87900;0
402;96;1;01/12/2010 00:00:00;0;0;0
403;94;1;01/12/2010 00:00:00;0;0;0
404;37;1;01/01/2011 00:00:00;0;201770;0
405;87;1;01/01/2011 00:00:00;0;100115;0
406;89;1;01/01/2011 00:00:00;0;23800;0
407;45;1;01/01/2011 00:00:00;0;8233;0
408;38;1;01/01/2011 00:00:00;0;548345;0
409;48;1;01/01/2011 00:00:00;0;142342;0
410;39;1;01/01/2011 00:00:00;0;3774238;0
411;40;1;01/01/2011 00:00:00;0;43328;0
412;91;1;01/01/2011 00:00:00;0;29000;0
413;42;1;01/01/2011 00:00:00;0;220004;0
414;41;1;01/01/2011 00:00:00;0;50400;0
415;93;1;01/01/2011 00:00:00;0;13000;0
416;46;1;01/01/2011 00:00:00;0;1315494;0
417;47;1;01/01/2011 00:00:00;0;522939;0
418;90;1;01/01/2011 00:00:00;0;40000;0
419;95;1;01/01/2011 00:00:00;0;2400;0
420;54;1;01/01/2011 00:00:00;0;58092;0
421;49;1;01/01/2011 00:00:00;0;197322;0
422;51;1;01/01/2011 00:00:00;0;385000;0
423;92;1;01/01/2011 00:00:00;0;25000;0
424;50;1;01/01/2011 00:00:00;0;678361;0
425;52;1;01/01/2011 00:00:00;0;711720;0
426;88;1;01/01/2011 00:00:00;0;252176;0
427;53;1;01/01/2011 00:00:00;0;1010737;0
428;55;1;01/01/2011 00:00:00;0;18623;0
429;43;1;01/01/2011 00:00:00;0;257480;0
430;44;1;01/01/2011 00:00:00;0;122500;0
431;94;1;01/01/2011 00:00:00;0;0;0
432;96;1;01/01/2011 00:00:00;0;0;0
433;96;1;01/02/2011 00:00:00;0;0;0
434;82;2;01/03/2011 00:00:00;0;38348;0
435;73;2;01/03/2011 00:00:00;0;4667;0
436;79;2;01/03/2011 00:00:00;0;41388;0
437;75;2;01/03/2011 00:00:00;0;11187;0
438;80;2;01/03/2011 00:00:00;0;81840;0
439;76;2;01/03/2011 00:00:00;0;13768;0
440;77;2;01/03/2011 00:00:00;0;145898;0
441;78;2;01/03/2011 00:00:00;0;244266;0
442;74;2;01/03/2011 00:00:00;0;4178;0
443;81;2;01/03/2011 00:00:00;0;319046;0
444;71;6;01/03/2011 00:00:00;4898;10803;434
445;83;6;01/03/2011 00:00:00;1010;245742;334
446;20;8;01/03/2011 00:00:00;452;173417;2260
447;21;8;01/03/2011 00:00:00;1112;426604;1019
448;22;8;01/03/2011 00:00:00;28;10672;0
449;30;8;01/03/2011 00:00:00;10;3940;790
450;23;8;01/03/2011 00:00:00;410;157446;2872
451;25;8;01/03/2011 00:00:00;5407;2074318;416
452;24;8;01/03/2011 00:00:00;2934;1125662;1230
453;19;8;01/03/2011 00:00:00;1109;425268;3226
454;26;8;01/03/2011 00:00:00;4851;1860744;2207
455;27;8;01/03/2011 00:00:00;1147;439897;1904
456;33;8;01/03/2011 00:00:00;3575;1371267;119
457;31;8;01/03/2011 00:00:00;714;273902;4061
458;34;8;01/03/2011 00:00:00;504;193181;0
