CodigoDesempenhoVagao;CodigoFerrovia;CodigoTipoVagao;DataReferencia;NumeroImobilizacaoOficinaPropria;NumeroImobilizacaoOficinaTerceiros;NumeroImobilizacaoMorta;NumeroDisponivelNaoUtilizadoPropria;NumeroDisponivelNaoUtilizadoTerceiros;NumeroUtilizacaoPropria;NumeroUtilizacaoTerceiros;NumeroUtilizacaoServicoInterno;NumeroTUTransportada;NumeroTKUProduzida;NumeroDistanciaPercorrida
909;2;1;01/03/2006 00:00:00;3,1;0,0;0,0;244,9;0,0;0,0;0,0;83,5;0.0;0.0;0.0
910;2;68;01/03/2006 00:00:00;3478,7;204,3;0,0;8394,3;942,7;2821,6;379,1;811,5;18739.0;12244422.0;568341.0
911;2;115;01/03/2006 00:00:00;567,4;0,0;0,0;2790,6;62,0;658,4;0,0;72,1;3976.0;3616936.0;176100.0
912;2;163;01/03/2006 00:00:00;483,0;0,0;0,0;12909,0;0,0;5257,4;0,0;1304,7;61668.0;19946467.0;939097.0
913;2;211;01/03/2006 00:00:00;693,2;5,8;0,0;6349,8;329,2;1424,8;52,9;249,4;22344.0;3425639.0;364773.0
914;2;320;01/03/2006 00:00:00;3688,4;101,9;0,0;11314,6;270,1;6048,1;45,5;97,3;26194.0;13203121.0;860464.0
915;3;68;01/03/2006 00:00:00;0,0;0,0;0,0;367,9;0,0;0,0;0,0;0,0;0.0;0.0;1182.0
916;3;115;01/03/2006 00:00:00;3321,8;0,0;0,0;116238,7;0,0;103229,1;0,0;19,0;6134926.0;5719096127.0;109370344.0
917;3;163;01/03/2006 00:00:00;369,0;0,0;0,0;19692,6;0,0;13178,6;0,0;171,1;925823.0;400387893.0;8289879.0
918;3;211;01/03/2006 00:00:00;66,5;0,0;0,0;5470,5;0,0;1129,1;0,0;629,7;1974.0;3090842.0;291807.0
919;3;320;01/03/2006 00:00:00;107,1;0,0;0,0;1168,1;0,0;1763,0;0,0;0,0;57015.0;40953540.0;385283.0
920;4;1;01/03/2006 00:00:00;282,3;0,0;0,0;148,7;0,0;313,7;0,0;0,0;663.0;174760.0;7903.0
921;4;68;01/03/2006 00:00:00;1926,4;1865,0;0,0;594,4;1838,7;2961,7;4206,8;293,7;161387.0;138921692.0;2566612.0
922;4;115;01/03/2006 00:00:00;14115,9;3176,2;0,0;33588,7;3021,5;219377,8;16639,8;3749,8;9565033.0;5178566133.0;73175228.0
923;4;163;01/03/2006 00:00:00;8949,4;1561,1;0,0;8827,8;2559,6;12342,4;4281,8;2192,0;416686.0;466264467.0;7192802.0
924;4;211;01/03/2006 00:00:00;4130,0;2109,1;0,0;5715,5;2498,3;19186,1;6370,0;3316,3;502434.0;239865235.0;3891864.0
925;6;68;01/03/2006 00:00:00;0,0;445,0;0,0;0,0;931,4;0,0;2353,8;0,0;54135.0;46523697.0;354824.0
926;6;163;01/03/2006 00:00:00;29,0;0,0;0,0;565,6;0,0;1844,6;0,0;0,0;31555.0;11234657.0;270715.0
927;6;211;01/03/2006 00:00:00;0,0;57,3;0,0;0,0;485,8;0,0;310,0;0,0;5233.0;842694.0;85757.0
928;6;320;01/03/2006 00:00:00;0,0;0,0;0,0;0,0;241,8;0,0;107,4;0,0;3387.0;588810.0;41089.0
929;8;68;01/03/2006 00:00:00;3223,4;41,1;8897,0;3547,8;23,5;40795,2;636,5;1223,9;107681.0;90654872.0;1242019.0
930;8;115;01/03/2006 00:00:00;2484,5;1171,3;3658,0;2358,5;486,0;44791,9;21863,6;447,9;423392.0;110325432.0;5176257.0
931;8;163;01/03/2006 00:00:00;4681,8;2282,4;9610,0;2076,1;439,2;67125,9;33211,8;671,3;460376.0;318542728.0;5492641.0
932;8;211;01/03/2006 00:00:00;1525,8;422,0;2263,0;2715,7;330,9;36068,2;10518,5;360,7;67656.0;87148167.0;4827443.0
933;8;320;01/03/2006 00:00:00;4461,0;89,2;9920,0;3166,7;34,1;36401,7;921,9;728,0;172492.0;133741461.0;2321589.0
934;10;68;01/03/2006 00:00:00;31,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0.0
935;10;115;01/03/2006 00:00:00;2114,2;0,0;0,0;3540,8;0,0;2480,1;0,0;1412,9;228773.0;15905488.0;529017.0
936;10;163;01/03/2006 00:00:00;155,0;0,0;0,0;142,7;0,0;0,0;0,0;105,3;0.0;0.0;372.0
937;10;211;01/03/2006 00:00:00;327,2;0,0;0,0;1136,5;0,0;191,9;0,0;142,4;5693.0;588513.0;33182.0
938;11;68;01/03/2006 00:00:00;14841,2;0,0;0,0;4537,0;0,0;28386,2;0,0;2480,0;157105.0;48826523.0;1676120.0
939;11;115;01/03/2006 00:00:00;28110,9;0,0;0,0;17225,9;0,0;173902,9;0,0;681,6;6106659.0;3018071294.0;66070510.0
940;11;163;01/03/2006 00:00:00;5866,4;0,0;0,0;12397,9;0,0;59824,2;0,0;3502,6;1006483.0;459130955.0;12236420.0
941;11;208;01/03/2006 00:00:00;121,7;0,0;0,0;10,1;0,0;643,2;0,0;310,0;14204.0;5164747.0;41556.0
942;11;211;01/03/2006 00:00:00;9555,5;0,0;0,0;10262,1;0,0;47996,2;0,0;5855,8;620444.0;201252995.0;5795476.0
943;11;320;01/03/2006 00:00:00;1883,6;0,0;0,0;1006,7;0,0;9850,6;0,0;0,0;104887.0;55523147.0;1471080.0
944;2;1;01/04/2006 00:00:00;2,7;0,0;0,0;237,3;0,0;0,0;0,0;58,4;0.0;0.0;0.0
945;2;68;01/04/2006 00:00:00;3130,9;251,5;0,0;8359,1;858,5;3541,0;499,7;742,0;17913.0;11736010.0;542062.0
946;2;115;01/04/2006 00:00:00;445,9;0,0;0,0;1931,5;60,0;222,6;12,2;44,6;1277.0;1180992.0;138203.0
947;2;163;01/04/2006 00:00:00;525,7;0,0;0,0;12434,3;0,0;3422,8;0,0;853,3;38642.0;12492538.0;700518.0
948;2;211;01/04/2006 00:00:00;713,1;2,9;0,0;6126,9;297,1;2068,4;169,1;359,4;25003.0;6552327.0;386350.0
949;2;320;01/04/2006 00:00:00;3833,9;121,7;0,0;10511,1;238,3;6151,4;66,1;131,3;21629.0;11283837.0;814574.0
950;3;68;01/04/2006 00:00:00;0,0;0,0;0,0;350,7;0,0;0,0;0,0;0,0;0.0;267750.0;4048.0
951;3;115;01/04/2006 00:00:00;3443,8;0,0;0,0;109523,7;0,0;107009,6;0,0;39,2;5949579.0;5649932712.0;108622268.0
952;3;163;01/04/2006 00:00:00;532,1;0,0;0,0;15646,3;0,0;15534,5;0,0;3632,0;977632.0;405738710.0;7607858.0
953;3;211;01/04/2006 00:00:00;65,2;0,0;0,0;5109,5;0,0;927,4;0,0;2027,2;1373.0;704498.0;284603.0
954;3;320;01/04/2006 00:00:00;149,8;0,0;0,0;1253,5;0,0;1288,8;0,0;346,0;52861.0;30123451.0;414534.0
955;4;1;01/04/2006 00:00:00;324,4;0,0;0,0;102,5;0,0;317,6;0,0;49,0;530.0;136909.0;6198.0
956;4;68;01/04/2006 00:00:00;1752,3;1720,2;0,0;605,7;1530,9;2443,6;4947,6;283,1;172780.0;155356984.0;2892938.0
957;4;115;01/04/2006 00:00:00;18457,2;3303,9;0,0;31773,4;4057,3;214745,1;18567,8;4016,7;9344321.0;5028906351.0;72416835.0
958;4;163;01/04/2006 00:00:00;8163,5;1478,7;0,0;5372,4;1449,7;15657,3;4988,0;2529,7;468562.0;498912661.0;7715057.0
959;4;211;01/04/2006 00:00:00;4434,1;2315,6;0,0;3935,2;2142,3;18795,1;6806,2;3377,0;490589.0;242012799.0;3766183.0
960;6;68;01/04/2006 00:00:00;0,0;448,1;0,0;0,0;1094,6;0,0;3002,4;0,0;57503.0;51030901.0;330785.0
961;6;163;01/04/2006 00:00:00;30,2;0,0;0,0;667,4;0,0;2204,9;0,0;0,0;21529.0;7825555.0;243387.0
962;6;211;01/04/2006 00:00:00;0,0;30,0;0,0;0,0;590,7;0,0;210,4;0,0;6606.0;1059489.0;85988.0
963;6;320;01/04/2006 00:00:00;0,0;0,0;0,0;0,0;272,2;0,0;149,8;0,0;6160.0;109293.0;50010.0
964;8;68;01/04/2006 00:00:00;7980,0;90,0;8610,0;4903,2;30,2;56370,0;810,0;1691,1;123453.0;111753643.0;1304120.0
965;8;115;01/04/2006 00:00:00;4740,0;1650,0;3540,0;2007,0;304,5;38130,0;13680,0;381,3;356218.0;105411364.0;5435070.0
966;8;163;01/04/2006 00:00:00;12180,0;5880,0;9300,0;1998,9;420,2;64620,0;31770,0;646,2;462372.0;348990788.0;5767273.0
967;8;211;01/04/2006 00:00:00;3240,0;900,0;2190,0;2530,5;310,4;33600,0;9870,0;336,0;52903.0;79601078.0;5068815.0
968;8;320;01/04/2006 00:00:00;10920,0;240,0;9600,0;2673,6;28,1;30720,0;780,0;614,4;174442.0;127599411.0;2437668.0
969;10;68;01/04/2006 00:00:00;30,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0.0
970;10;115;01/04/2006 00:00:00;1903,5;0,0;0,0;2746,2;0,0;2587,1;0,0;2006,0;190813.0;13233592.0;451764.0
971;10;163;01/04/2006 00:00:00;150,0;0,0;0,0;145,1;0,0;0,0;0,0;94,9;0.0;0.0;1248.0
972;10;211;01/04/2006 00:00:00;288,1;0,0;0,0;1151,0;0,0;176,5;0,0;121,6;4456.0;419247.0;28903.0
973;11;68;01/04/2006 00:00:00;13667,4;0,0;0,0;3904,0;0,0;28208,1;0,0;2400,0;159974.0;48314570.0;1688860.0
974;11;115;01/04/2006 00:00:00;25383,3;0,0;0,0;13626,0;0,0;174009,0;0,0;659,7;6345749.0;3134811262.0;68377923.0
975;11;163;01/04/2006 00:00:00;8283,0;0,0;0,0;10625,5;0,0;57200,9;0,0;3389,6;947416.0;432650097.0;11405480.0
976;11;208;01/04/2006 00:00:00;268,1;0,0;0,0;7,1;0,0;475,0;0,0;299,7;13387.0;4214262.0;39638.0
977;11;211;01/04/2006 00:00:00;11489,5;0,0;0,0;8217,4;0,0;47912,6;0,0;5669,6;631517.0;209869256.0;5975953.0
978;11;320;01/04/2006 00:00:00;1905,9;0,0;0,0;812,4;0,0;9611,6;0,0;0,0;98175.0;50179836.0;1328762.0
979;2;1;01/05/2006 00:00:00;10,1;0,0;0,0;237,9;0,0;0,0;0,0;127,1;0.0;0.0;0.0
980;2;68;01/05/2006 00:00:00;3301,3;264,8;0,0;8571,7;882,2;3936,5;493,9;1315,3;21927.0;14792493.0;635483.0
981;2;115;01/05/2006 00:00:00;496,3;0,0;0,0;1922,8;62,0;581,3;0,0;27,6;2927.0;2905829.0;183499.0
982;2;163;01/05/2006 00:00:00;566,0;0,0;0,0;12755,6;0,0;3556,6;0,0;1019,1;41801.0;14793387.0;890011.0
983;2;211;01/05/2006 00:00:00;667,6;17,4;0,0;6330,9;292,6;1552,3;92,8;410,0;22515.0;5366212.0;298867.0
984;2;320;01/05/2006 00:00:00;4153,0;141,7;0,0;10665,0;230,3;5522,5;51,0;131,5;24368.0;12852092.0;879199.0
985;3;115;01/05/2006 00:00:00;3352,5;0,0;0,0;115302,3;0,0;109140,4;0,0;39,8;6430343.0;5962394568.0;111184464.0
986;3;163;01/05/2006 00:00:00;455,4;0,0;0,0;14854,0;0,0;18054,9;0,0;298,3;882676.0;391303220.0;10089071.0
987;3;211;01/05/2006 00:00:00;46,8;0,0;0,0;5342,7;0,0;439,2;0,0;1251,8;3138.0;1988821.0;292803.0
988;3;320;01/05/2006 00:00:00;149,8;0,0;0,0;1253,5;0,0;1288,8;0,0;346,0;58106.0;33134744.0;929206.0
989;4;1;01/05/2006 00:00:00;394,1;0,0;0,0;152,6;0,0;287,7;0,0;7,7;524.0;136715.0;6263.0
990;4;68;01/05/2006 00:00:00;2080,6;1576,4;0,0;611,6;1554,9;2843,3;7016,7;414,1;185301.0;168422301.0;3204714.0
991;4;115;01/05/2006 00:00:00;16434,2;3213,0;0,0;35321,2;4609,7;214112,7;21571,2;4258,8;10319258.0;5556135075.0;80034290.0
992;4;163;01/05/2006 00:00:00;8440,6;1938,2;0,0;8538,7;1778,9;15519,7;5406,0;2649,1;457371.0;471970332.0;7464751.0
993;4;211;01/05/2006 00:00:00;4161,3;2738,2;0,0;4162,3;1965,0;22901,9;7618,8;2632,4;503010.0;240551882.0;3720319.0
994;6;1;01/05/2006 00:00:00;0,0;0,0;0,0;0,0;4,8;0,0;12,1;0,0;146.0;36348.0;1951.0
995;6;68;01/05/2006 00:00:00;0,0;265,6;0,0;0,0;1505,2;0,0;4707,7;7,7;41959.0;62966980.0;449006.0
996;6;115;01/05/2006 00:00:00;0,0;0,0;0,0;0,0;42,9;0,0;165,4;0,0;3329.0;654165.0;17652.0
997;6;163;01/05/2006 00:00:00;0,0;32,9;0,0;0,0;960,7;0,0;4148,9;0,0;56369.0;8290037.0;338981.0
998;6;211;01/05/2006 00:00:00;0,0;31,0;0,0;0,0;624,2;0,0;228,8;0,0;8207.0;164276.0;125644.0
999;6;320;01/05/2006 00:00:00;0,0;0,0;0,0;0,0;354,1;0,0;113,2;0,0;3393.0;580887.0;21968.0
1000;8;68;01/05/2006 00:00:00;3565,0;62,0;8897,0;5498,1;44,2;63209,0;1209,0;1896,2;149276.0;132235515.0;1369326.0
1001;8;115;01/05/2006 00:00:00;1798,0;744,0;3658,0;1908,0;344,3;36239,0;15469,0;362,3;388791.0;105086206.0;5706824.0
1002;8;163;01/05/2006 00:00:00;4960,0;2418,0;9610,0;2098,0;445,9;67828,0;33728,0;678,2;470304.0;383206938.0;6055637.0
1003;8;211;01/05/2006 00:00:00;1333,0;372,0;2263,0;2588,8;321,7;34379,0;10230,0;343,7;77227.0;103826266.0;5322256.0
1004;8;320;01/05/2006 00:00:00;4867,0;93,0;9920,0;3295,9;35,5;37882,0;961,0;757,6;203015.0;141474604.0;2559551.0
1005;10;68;01/05/2006 00:00:00;31,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0.0
1006;10;115;01/05/2006 00:00:00;2074,0;0,0;0,0;2342,2;0,0;3379,9;0,0;1751,9;253521.0;17596965.0;587372.0
1007;10;163;01/05/2006 00:00:00;155,0;0,0;0,0;173,1;0,0;0,0;0,0;74,9;0.0;0.0;2419.0
1008;10;211;01/05/2006 00:00:00;306,9;0,0;0,0;1065,7;0,0;271,5;0,0;153,9;4499.0;521897.0;21038.0
1009;11;68;01/05/2006 00:00:00;12135,3;0,0;0,0;3801,8;0,0;29229,3;0,0;2480,0;160866.0;49254895.0;1703444.0
1010;11;115;01/05/2006 00:00:00;26691,5;0,0;0,0;13135,5;0,0;181591,8;0,0;713,0;6521909.0;3243656920.0;70827881.0
1011;11;163;01/05/2006 00:00:00;5453,5;0,0;0,0;8722,8;0,0;63853,5;0,0;3499,3;1043604.0;476113914.0;11935158.0
1012;11;208;01/05/2006 00:00:00;310,4;0,0;0,0;12,0;0,0;153,6;0,0;268,0;22194.0;7354466.0;36562.0
1013;11;211;01/05/2006 00:00:00;10184,4;0,0;0,0;7342,9;0,0;50643,7;0,0;5856,1;718958.0;220546104.0;6192248.0
1014;11;320;01/05/2006 00:00:00;1672,1;0,0;0,0;959,4;0,0;9706,3;0,0;0,0;115407.0;61411856.0;1219159.0
1015;2;1;01/06/2006 00:00:00;1,3;0,0;0,0;238,7;0,0;0,0;0,0;82,7;0.0;0.0;0.0
1016;2;68;01/06/2006 00:00:00;3292,1;284,8;0,0;8197,9;825,2;3203,7;365,7;1269,1;21108.0;13290780.0;546482.0
1017;2;115;01/06/2006 00:00:00;384,9;0,0;0,0;1843,8;60,0;538,0;0,0;105,7;2966.0;3245884.0;126375.0
