CodigoDesempenhoLocomotiva;CodigoFerrovia;CodigoModeloLocomotiva;DataReferencia;NumeroConsumoCombustivel;NumeroImobilizacaoOficinaPropria;NumeroImobilizacaoOficinaTerceiros;NumeroImobilizacaoMorta;NumeroDisponivelNaoUtilizadoPropria;NumeroDisponivelNaoUtilizadoTerceiros;NumeroUtilizacaoPropria;NumeroUtilizacaoTerceiros;NumeroUtilizacaoServicoInterno;NumeroTKBTracionada;NumeroTKUTracionada;NumeroDistanciaPercorrida
8991;11;149;01/03/2006 00:00:00;0;0,0;0,0;0,0;2232,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8992;11;149;01/04/2006 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8993;11;149;01/05/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8994;11;149;01/06/2006 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8995;11;149;01/07/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8996;11;149;01/08/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8997;11;149;01/09/2006 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8998;11;149;01/10/2006 00:00:00;0;2184,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8999;11;149;01/11/2006 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9000;11;149;01/12/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9001;11;149;01/01/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9002;11;149;01/02/2007 00:00:00;0;2016,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9003;11;149;01/03/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9004;11;149;01/04/2007 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9005;11;149;01/05/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9006;11;149;01/06/2007 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9007;11;149;01/07/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9008;11;149;01/08/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9009;11;149;01/09/2007 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9010;11;149;01/10/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9011;11;149;01/11/2007 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9012;11;149;01/12/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9013;11;149;01/01/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9014;11;149;01/02/2008 00:00:00;0;2088,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9015;11;149;01/03/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9016;11;149;01/04/2008 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9017;11;149;01/05/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9018;11;149;01/06/2008 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9019;11;149;01/07/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9020;11;149;01/08/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9021;11;149;01/09/2008 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
