CodigoAbastecimentoFerrovia;CodigoAbastecimento;CodigoFerrovia;Litros
2729;8631;7;709164
2730;8632;5;1474653
2731;8642;12;0
2732;8656;1;0
2733;8657;5;0
2734;8657;1;0
2735;8692;4;0
2736;8699;5;0
2737;8699;1;0
2738;8699;4;0
2739;8699;11;0
2740;8706;4;0
2741;8706;11;0
2742;8738;12;0
2743;8744;5;8000
2744;8745;1;30650
2745;8745;5;64900
2746;8746;1;1044033
2747;8747;5;10000
2748;8751;9;1700
2749;8751;5;8500
2750;8752;9;17201
2751;8752;5;19602
2752;8755;9;60100
2753;8755;5;173650
2754;8765;7;110100
2755;8766;7;2860582
2756;8767;7;863729
2757;8768;1;14259
2758;8768;7;786960
2759;8769;5;904820
2760;8770;5;0
2761;8770;1;0
2762;8804;4;49662
2763;8811;5;0
2764;8811;1;0
2765;8811;4;0
2766;8811;11;0
2767;8818;4;0
2768;8818;11;0
2774;8833;7;120030
2775;8834;7;0
2776;8835;7;0
2777;8836;7;0
2778;8837;5;760792
2791;8869;5;4500
2792;8870;1;26214
2793;8870;5;74226
2794;8871;1;1056690
2795;8872;1;12300
2796;8877;9;2500
2797;8877;5;1500
2798;8878;9;3850
2799;8878;5;12145
2800;8880;9;77700
2801;8880;5;106382
2802;8911;12;0
2803;8931;5;16500
2804;8932;1;25466
2805;8932;5;66968
2806;8933;1;766621
2807;8937;9;4000
2808;8938;9;13000
2809;8938;5;4500
2810;8941;9;29400
2811;8941;5;89000
2812;8963;5;0
2813;8963;1;0
2814;8964;5;0
2815;8964;1;0
2816;8965;7;79067
2817;8966;7;2134652
2818;8967;7;906987
2819;8968;1;39042
2820;8968;7;466312
2822;8986;4;11167
2823;8993;5;0
2824;8993;1;0
2825;8993;4;0
2826;8993;11;0
2827;9000;4;0
2828;9000;11;0
2829;9008;12;0
2830;9015;5;901272
2831;9031;1;3500
2832;9031;5;10700
2833;9032;1;9904
2834;9032;5;79459
2835;9033;1;601086
2836;9034;5;0
2837;9034;1;0
2838;9035;5;0
2839;9035;1;0
2840;9039;9;2900
2841;9039;5;10600
2842;9040;9;20650
2843;9040;5;4624
2844;9042;5;127057
2845;9065;7;106299
2846;9066;7;1912964
2847;9067;7;1024071
2848;9068;9;1503
2849;9068;1;25106
2850;9068;7;447469
2851;9069;5;1245808
2852;9085;4;0
2853;9090;5;0
2854;9090;1;0
2855;9090;4;0
2856;9090;11;0
2857;9097;4;0
2858;9097;11;0
2859;9109;12;0
2860;9130;1;5000
2861;9131;1;18923
2862;9131;5;92726
2863;9132;1;404291
2864;9133;5;0
2865;9133;1;0
2866;9134;5;0
2867;9134;1;0
2868;9138;5;6000
2869;9139;9;13731
2870;9139;5;22186
2871;9142;9;15400
2872;9142;5;59900
2873;9164;7;82883
2874;9165;7;3480614
2875;9166;7;2355978
2876;9167;1;25509
2877;9167;7;663469
2878;9168;5;1546524
2879;9182;4;0
2880;9187;5;0
2881;9187;1;0
2882;9187;4;0
2883;9187;11;0
2884;9193;4;0
2885;9193;11;0
2886;9219;12;0
2887;9236;1;1000
2888;9236;5;15000
2889;9237;1;19009
2890;9237;5;120567
2891;9238;1;1031598
2892;9239;5;0
2893;9239;1;0
2894;9240;5;0
2895;9240;1;0
2896;9244;5;8084
2897;9245;5;10433
2898;9248;9;8800
2899;9248;5;21070
2900;9270;7;106031
2901;9271;7;4304921
2902;9272;7;2654840
2903;9273;9;8302
2904;9273;1;74798
2905;9273;7;706469
2906;9274;5;1722180
2907;9287;5;0
2908;9287;1;0
2909;9287;4;0
2910;9287;11;0
2911;9293;4;0
2912;9293;11;0
2913;9301;12;0
2914;9335;1;10200
2915;9335;5;13000
2916;9336;1;25878
2917;9336;5;110785
2918;9337;1;1082294
2919;9338;5;0
2920;9338;1;0
2921;9339;5;0
2922;9339;1;0
2923;9343;9;9520
2924;9343;5;10960
2925;9344;9;18488
2926;9344;5;21053
2927;9347;9;2600
2928;9347;5;38660
2929;9369;7;118295
2930;9370;7;3873687
2931;9371;7;2666073
2932;9372;1;12605
2933;9372;7;664797
2934;9373;5;1495788
2935;9386;4;0
2936;9386;11;0
2937;9386;5;0
2938;9386;1;0
2939;9392;4;0
2940;9392;11;0
2941;9400;12;0
2942;9430;5;0
2943;9430;1;0
2944;9431;5;0
2945;9431;1;0
2946;9456;9;0
2947;9456;5;0
2948;9474;4;0
2949;9481;4;0
2950;9481;11;0
2951;9481;5;0
2952;9481;1;0
2953;9488;4;0
2954;9488;11;0
2955;9507;12;0
2956;9548;1;2000
2957;9548;5;13000
2958;9549;1;2955
2959;9549;5;133849
2960;9550;1;965078
2961;9551;5;0
2962;9551;1;0
2963;9552;5;0
2964;9552;1;0
2965;9553;7;96746
2966;9554;7;4273717
2967;9555;7;2309905
2968;9556;9;6308
2969;9556;1;162486
2970;9556;7;758332
2971;9557;5;1485174
2972;9586;9;0
2973;9586;5;0
2974;9596;4;0
2975;9603;4;0
2976;9603;11;0
2977;9603;5;0
2978;9603;1;0
2979;9610;4;0
2980;9610;11;0
2981;9622;12;0
2982;9628;1;6000
2983;9628;5;12100
2984;9629;1;14644
2985;9629;5;144770
2986;9630;1;1016474
2987;9631;5;0
2988;9631;1;0
2989;9632;5;0
2990;9632;1;0
2991;9636;9;17841
2992;9636;5;7101
2993;9639;9;15830
2994;9639;5;60732
2995;9658;9;0
2996;9658;5;0
2997;9662;7;159058
2998;9663;7;4405600
2999;9664;7;2595456
3000;9665;1;121534
3001;9665;7;793834
3002;9666;5;1652595
3003;9690;4;0
3004;9690;11;0
3005;9690;5;0
3006;9690;1;0
3007;9697;4;0
3008;9697;11;0
3009;9709;12;0
3032;9791;4;0
3033;9798;4;0
3034;9798;11;0
3035;9798;5;0
3036;9798;1;0
3037;9805;4;0
3038;9805;11;0
3039;9806;1;9001
3040;9807;1;29405
3041;9808;1;1110487
3042;9809;5;0
3043;9809;1;0
3044;9810;5;0
3045;9810;1;0
3046;9814;9;12215
3047;9817;9;25200
3048;9839;9;0
3049;9839;5;0
3050;9843;9;1400
3051;9844;5;1970584
3052;9847;12;0
3053;9875;1;1465
3054;9876;1;1050828
3055;9880;9;5128
3056;9883;9;16700
3057;9893;7;203177
3058;9894;7;4703249
3059;9895;7;2447462
3060;9896;7;742055
3061;9897;5;2067829
3062;9898;5;0
3063;9898;1;0
3064;9899;5;0
3065;9899;1;0
3066;9911;9;0
3067;9911;5;0
3068;9926;4;0
3069;9938;4;0
3070;9938;11;0
3071;9942;4;0
3072;9942;11;0
3073;9942;5;0
3074;9942;1;0
3075;9953;12;0
3076;9990;4;0
3077;9997;4;0
3078;9997;11;0
3079;9997;5;0
3080;9997;1;0
3081;10004;4;0
3082;10004;11;0
3083;10015;4;0
3084;10022;4;0
3085;10022;11;0
3086;10022;5;21970
3087;10022;1;0
3088;10028;4;0
3089;10028;11;0
3090;10046;12;0
3091;10055;9;2000
3092;10056;9;7515
3093;10059;9;9783
3094;10070;7;139118
3095;10071;7;5121110
3096;10072;7;2691918
3097;10073;7;754111
3098;10074;1;0
3099;10075;1;3244
3100;10076;1;1054897
3101;10077;5;2082767
3102;10078;5;0
3103;10078;1;0
3104;10079;5;0
3105;10079;1;0
3106;10113;4;0
3107;10119;4;0
3108;10119;11;0
3109;10119;5;0
3110;10119;1;0
3111;10126;4;0
3112;10126;11;0
3113;10131;9;18911
3114;10134;9;26022
3115;10156;9;0
3116;10156;5;0
3117;10157;1;9500
3118;10158;1;21937
3119;10159;1;948237
3120;10160;5;0
